isin,name,market,country,type,coupon,price,maturity,currency
ITSAMPLE0001,SAMPLE BTP 3.50% 2030,SAMPLE,IT,govt,3.50,98.40,2030-03-01,EUR
ITSAMPLE0002,SAMPLE BTP 4.00% 2035,SAMPLE,IT,govt,4.00,99.10,2035-02-01,EUR
ITSAMPLE0003,SAMPLE BTP 2.45% 2033,SAMPLE,IT,govt,2.45,89.70,2033-09-01,EUR
ITSAMPLE0004,SAMPLE BTP 1.65% 2032,SAMPLE,IT,govt,1.65,84.20,2032-12-01,EUR
ITSAMPLE0005,SAMPLE BTP 5.00% 2040,SAMPLE,IT,govt,5.00,104.30,2040-09-01,EUR
DESAMPLE0001,SAMPLE BUND 2.30% 2033,SAMPLE,DE,govt,2.30,96.20,2033-02-15,EUR
DESAMPLE0002,SAMPLE BUND 0.00% 2031,SAMPLE,DE,govt,0.00,82.50,2031-08-15,EUR
FRSAMPLE0001,SAMPLE OAT 3.00% 2034,SAMPLE,FR,govt,3.00,95.80,2034-05-25,EUR
FRSAMPLE0002,SAMPLE OAT 1.25% 2036,SAMPLE,FR,govt,1.25,78.90,2036-05-25,EUR
ESSAMPLE0001,SAMPLE BONOS 3.55% 2033,SAMPLE,ES,govt,3.55,98.60,2033-10-31,EUR
ESSAMPLE0002,SAMPLE BONOS 2.70% 2048,SAMPLE,ES,govt,2.70,79.40,2048-10-31,EUR
XSSAMPLE0001,SAMPLE EIB 3.25% 2029 (supra),SAMPLE,EU,eurobond,3.25,100.20,2029-06-15,EUR
